ACCT_ID,SUBSTATION,SUPPLY_TYPE,MR_SOURCE_CD,PAY_AMT,PAY_DAY
9951172000,MEDICAL_20054,10,MOBILEBILL,1480.0,9
9119772000,NAGRA_20060,10,MOBMRI,1521.0,15
3487372000,GALLA MANDI_20048,20,OCR_CORAL,2239.0,10
0399382798,NANDANPUTRA_20061,10,MOBILEBILL,1551.0,13
7011084362,HASARI_20059,10,MRI,8797.0,18
8880082000,NANDANPUTRA_20061,10,MOBMRI,2650.0,7
3555282000,NANDANPUTRA_20061,10,MOBMRI,616.0,7
8644436978,NANDANPUTRA_20061,10,MOBILEBILL,1031.0,18
9277388216,NAGRA_20060,10,OCR_CORAL,1002.0,21
6554298128,GALLA MANDI_20048,10,SM,1500.0,21
7819856865,GALLA MANDI_20048,10,SM,218.0,29
3983282000,HASARI_20059,10,MOBMRI,1580.0,23
8762972000,NAGRA_20060,10,MOBILEBILL,1738.0,23
2410172000,NAGRA_20060,10,MOBILEBILL,2407.0,14
5904317871,GALLA MANDI_20048,20,MOBMRI,7375.0,11
8245147877,NAGRA_20060,10,SM,1089.0,17
4999623279,HASARI_20059,10,MOBMRI,2987.0,14
3385812000,NANDANPUTRA_20061,10,MOBMRI,1211.0,15
9410926044,NANDANPUTRA_20061,103,,2193.0,11
8906772000,NANDANPUTRA_20061,10,MOBMRI,2961.0,5
9427187686,HASARI_20059,10,MOBILEBILL,3502.0,30
8212375591,MEDICAL_20054,10,MOBILEBILL,2501.0,19
6242282000,BIJAULI_20057,10,MOBILEBILL,3377.0,18
9213672000,MEDICAL_20054,10,MOBMRI,3441.0,12
6732182000,NANDANPUTRA_20061,10,MOBMRI,5483.0,11
8929088667,HASARI_20059,10,MOBMRI,1002.0,22
9171282000,NAGRA_20060,10,SM,1494.0,9
5603872000,NANDANPUTRA_20061,10,MOBILEBILL,2193.0,11
8182872000,GALLA MANDI_20048,10,MOBMRI,1893.0,10
